id;category;lv;sr;ru;en
250;health;1;On je zdrav i jak čovek.;Он здоровый и сильный человек.;He is a healthy and strong man.
251;health;2;Zovem zbog zakazivanja pregleda kod doktorke.;Я звоню, чтобы записаться на приём к врачу.;I'm calling to book an appointment with the doctor.
252;health;2;Idem kod zubara zbog jakog bola u zubu.;Я иду к стоматологу из-за сильной боли в зубе.;I'm going to the dentist because of severe tooth pain.
253;health;2;Oko mi je crveno, a uho me boli.;У меня красный глаз, и ухо болит.;My eye is red, and my ear hurts.
254;health;2;Imam jak kašalj i prehladu ove nedelje.;У меня на этой неделе сильный кашель и простуда.;I have a bad cough and a cold this week.
255;health;2;Doktor mi je dao recept za lek.;Врач выписал мне рецепт на лекарство.;The doctor gave me a prescription for medicine.
256;health;2;Imam nizak pritisak i osećam vrtoglavicu.;У меня низкое давление, и я чувствую головокружение.;I have low blood pressure and feel dizzy.
257;health;2;Pozvao sam hitnu pomoć zbog povrede.;Я вызвал скорую помощь из-за травмы.;I called emergency services because of an injury.
258;health;2;Imam zdravstveno osiguranje, ponesite zdravstvenu knjižicu.;У меня есть медицинская страховка, возьмите медицинскую книжку.;I have health insurance, bring your health booklet.
259;health;2;Sedim u čekaonici i čekam lekara.;Я сижу в зале ожидания и жду врача.;I'm sitting in the waiting room, waiting for the doctor.
260;health;2;Uputili su me kod specijaliste za srce.;Меня направили к специалисту по сердцу.;I was referred to a heart specialist.
261;health;3;Moj porodični lekar je blizu moje kuće.;Мой семейный врач рядом с моим домом.;My family doctor is near my home.
262;health;3;Želim da zakažem pregled kod lekara sutra.;Я хочу записаться на приём к врачу завтра.;I'd like to schedule an appointment with the doctor tomorrow.
263;health;3;Opišite mi vaše simptome, molim vas.;Опишите мне ваши симптомы, пожалуйста.;Please describe your symptoms to me.
264;health;3;Doktor je postavio dijagnozu posle analize krvi.;Врач поставил диагноз после анализа крови.;The doctor made a diagnosis after the blood test.
265;health;3;Osećam mučninu i vrtoglavicu posle jela.;Я чувствую тошноту и головокружение после еды.;I feel nauseous and dizzy after eating.
266;health;3;Imam modricu i otok na nozi.;У меня синяк и отёк на ноге.;I have a bruise and swelling on my leg.
267;health;3;Doktor sumnja na prelom posle povrede.;Врач подозревает перелом после травмы.;The doctor suspects a fracture after the injury.
268;health;3;Uzimam jednu tabletu ujutru za pritisak.;Я принимаю одну таблетку утром от давления.;I take one pill in the morning for blood pressure.
269;health;3;Vodim dete kod pedijatra sledeće nedelje.;Я веду ребёнка к педиатру на следующей неделе.;I'm taking my child to the pediatrician next week.
270;health;3;Idem na fizioterapiju za leđa dva puta nedeljno.;Я хожу на физиотерапию для спины два раза в неделю.;I go to physiotherapy for my back twice a week.
271;time;1;Volim proleće zbog cveća i toplog vremena.;Я люблю весну из-за цветов и тёплой погоды.;I love spring because of the flowers and warm weather.
272;time;1;Leti idemo na more sa porodicom.;Летом мы едем на море с семьёй.;In summer we go to the seaside with the family.
273;time;1;Jesen je puna boja i lepa je.;Осень полна красок и красива.;Autumn is full of colors and beautiful.
274;time;1;Zimi pada sneg i veoma je hladno.;Зимой идёт снег, и очень холодно.;In winter it snows and it's very cold.
275;time;1;Sačekaj samo minut, molim te.;Подожди всего минуту, пожалуйста.;Wait just a minute, please.
276;time;1;Ovo je bio dobar dan za mene.;Это был хороший день для меня.;This was a good day for me.
277;time;1;Volim mirno jutro pre posla.;Я люблю спокойное утро перед работой.;I love a calm morning before work.
278;time;1;Uveče gledamo film i pijemo čaj.;Вечером мы смотрим фильм и пьём чай.;In the evening we watch a movie and drink tea.
279;time;1;Ručamo u podne svaki radni dan.;Мы обедаем в полдень каждый рабочий день.;We have lunch at noon every workday.
280;time;1;Koliko je sati sada, znaš li?;Который сейчас час, ты знаешь?;What time is it now, do you know?
281;time;2;Čekam već pola sata na autobus.;Я жду автобус уже полчаса.;I've been waiting for the bus for half an hour.
282;time;2;Ustajem rano ujutru svaki dan.;Я встаю рано утром каждый день.;I get up early every morning.
283;time;2;Legao sam kasno sinoć zbog posla.;Я лёг поздно вчера вечером из-за работы.;I went to bed late last night because of work.
284;time;2;Videli smo se prošle nedelje u gradu.;Мы виделись на прошлой неделе в городе.;We saw each other last week in the city.
285;time;2;Putujem sledeće nedelje kod porodice.;Я путешествую на следующей неделе к семье.;I'm traveling next week to see my family.
286;time;2;Bio sam u Grčkoj prošle godine leti.;В прошлом году летом я был в Греции.;I was in Greece last summer.
287;time;2;Ponedeljak mi je najteži dan u nedelji.;Понедельник — мой самый тяжёлый день недели.;Monday is my hardest day of the week.
288;time;2;Petak je moj omiljeni dan, jer je vikend blizu.;Пятница — мой любимый день, потому что выходные близко.;Friday is my favorite day, because the weekend is close.
289;time;2;Vikendom idemo na izlete van grada.;На выходных мы ездим на прогулки за город.;On weekends we go on trips outside the city.
290;time;2;Sutra je državni praznik, ne radim.;Завтра государственный праздник, я не работаю.;Tomorrow is a public holiday, I'm not working.
291;time;3;Sada je tačno deset do pet.;Сейчас ровно без десяти пять.;It's exactly ten to five now.
292;time;3;Dolazim tačno u tri, ne kasnim.;Я приду ровно в три, не опаздываю.;I'll arrive exactly at three, I'm not late.
293;time;3;Sastanak je zakazan pre podne, oko deset.;Совещание назначено на до полудня, около десяти.;The meeting is scheduled for the morning, around ten.
294;time;3;Vežbam svakog dana, čak i vikendom.;Я тренируюсь каждый день, даже по выходным.;I exercise every day, even on weekends.
295;time;3;Nikad ne kasnim na posao ujutru.;Я никогда не опаздываю на работу утром.;I'm never late for work in the morning.
296;time;3;Vidimo se za sat vremena kod kafića.;Увидимся через час у кафе.;See you in an hour by the café.
297;time;3;Plata stiže krajem meseca svaki put.;Зарплата приходит в конце месяца каждый раз.;The salary arrives at the end of the month every time.
298;time;3;Ispit je za dva dana, moram da učim.;Экзамен через два дня, мне нужно учить.;The exam is in two days, I need to study.
299;time;3;Uspeo sam da stignem na vreme na sastanak.;Мне удалось успеть вовремя на встречу.;I managed to arrive on time for the meeting.
300;time;3;Vraćam se prekosutra iz Beograda.;Я возвращаюсь послезавтра из Белграда.;I'm coming back the day after tomorrow from Belgrade.
301;odeca;1;Kupujem plavu majicu za leto.;Я покупаю синюю футболку на лето.;I'm buying a blue T-shirt for summer.
302;odeca;1;Ova košulja mi dobro stoji, sviđa mi se.;Эта рубашка мне идёт, мне нравится.;This shirt suits me well, I like it.
303;odeca;1;Trebaju mi nove pantalone za posao.;Мне нужны новые брюки для работы.;I need new pants for work.
304;odeca;1;Ove farmerke su mi uske, treba mi veći broj.;Эти джинсы мне узки, мне нужен размер побольше.;These jeans are too tight for me, I need a bigger size.
305;odeca;1;Treba mi topla jakna za zimu.;Мне нужна тёплая куртка на зиму.;I need a warm jacket for winter.
306;odeca;1;Ove cipele su udobne i lepe.;Эта обувь удобная и красивая.;These shoes are comfortable and nice.
307;odeca;1;Koja je vaša veličina, molim vas?;Какой у вас размер, пожалуйста?;What is your size, please?
308;odeca;1;Gde je kabina za presvlačenje, molim vas?;Где примерочная, пожалуйста?;Where is the fitting room, please?
309;odeca;1;Mogu li da probam ovu haljinu?;Могу я примерить это платье?;Can I try on this dress?
310;odeca;1;Sviđa mi se ova boja, uzeću je.;Мне нравится этот цвет, я его возьму.;I like this color, I'll take it.
311;odeca;2;Nosim kaput zimi kad je hladno.;Я ношу пальто зимой, когда холодно.;I wear a coat in winter when it's cold.
312;odeca;2;Ovaj džemper je od vune i topao je.;Этот свитер из шерсти и тёплый.;This sweater is made of wool and warm.
313;odeca;2;Sako mi treba za posao i sastanke.;Мне нужен пиджак для работы и встреч.;I need a blazer for work and meetings.
314;odeca;2;Trebaju mi tople čarape i rukavice zimi.;Мне нужны тёплые носки и перчатки зимой.;I need warm socks and gloves in winter.
315;odeca;2;Kupujem patike za trčanje ujutru.;Я покупаю кроссовки для утреннего бега.;I'm buying sneakers for morning running.
316;odeca;2;Trebaju mi zimske čizme, hladno je napolju.;Мне нужны зимние сапоги, на улице холодно.;I need winter boots, it's cold outside.
317;odeca;2;Ova torba mi se jako sviđa, koliko košta?;Эта сумка мне очень нравится, сколько стоит?;I really like this bag, how much does it cost?
318;odeca;2;Ova jakna mi je prevelika, treba mi manji broj.;Эта куртка мне велика, мне нужен размер поменьше.;This jacket is too big for me, I need a smaller size.
319;odeca;2;Ove cipele su mi premale, imate li veći broj?;Эта обувь мне мала, у вас есть побольше?;These shoes are too small for me, do you have a bigger size?
320;odeca;2;Od kog materijala je ova haljina?;Из какого материала это платье?;What material is this dress made of?
321;odeca;3;Da li imate veći broj ove majice?;Есть ли у вас эта футболка большего размера?;Do you have this T-shirt in a bigger size?
322;odeca;3;Volim jednostavan modni stil i jednobojnu odeću.;Мне нравится простой стиль и однотонная одежда.;I like a simple fashion style and solid-color clothing.
323;odeca;3;Ovo je nova letnja kolekcija, sviđa mi se.;Это новая летняя коллекция, мне нравится.;This is the new summer collection, I like it.
324;odeca;3;Etiketa sa cenom je otpala sa haljine.;Ценник отпал от платья.;The price tag fell off the dress.
325;odeca;3;Treba mi elegantna odeća za svečanost sutra.;Мне нужна элегантная одежда для мероприятия завтра.;I need elegant clothing for tomorrow's event.
326;odeca;3;Kupujem sportsku odeću za teretanu.;Я покупаю спортивную одежду для спортзала.;I'm buying sportswear for the gym.
327;odeca;3;Kupujem naočare za sunce i novčanik.;Я покупаю солнцезащитные очки и кошелёк.;I'm buying sunglasses and a wallet.
328;odeca;3;Rajsferšlus na jakni ne radi, treba popravka.;Молния на куртке не работает, нужен ремонт.;The zipper on the jacket doesn't work, it needs repair.
329;odeca;3;Nedostaje mi jedno dugme na košulji.;У меня не хватает одной пуговицы на рубашке.;I'm missing one button on my shirt.
330;odeca;3;Koji je vaš broj obuće, molim vas?;Какой у вас размер обуви, пожалуйста?;What is your shoe size, please?
331;kafic;1;Sastajemo se u kafiću posle posla.;Мы встречаемся в кафе после работы.;We're meeting at the café after work.
332;kafic;1;Konobar donosi meni odmah.;Официант сразу приносит меню.;The waiter brings the menu right away.
333;kafic;1;Imate li slobodan sto za dvoje?;У вас есть свободный столик на двоих?;Do you have a free table for two?
334;kafic;1;Mogu li da vidim meni, molim vas?;Могу я посмотреть меню, пожалуйста?;Can I see the menu, please?
335;kafic;1;Naručujem espreso i čašu vode.;Я заказываю эспрессо и стакан воды.;I'm ordering an espresso and a glass of water.
336;kafic;1;Želim čaj sa limunom, molim.;Я хочу чай с лимоном, пожалуйста.;I want tea with lemon, please.
337;kafic;1;Sedimo na terasi jer je lepo vreme.;Мы сидим на террасе, потому что хорошая погода.;We're sitting on the terrace because the weather is nice.
338;kafic;1;Molim vas, hoću da platim.;Хочу оплатить, пожалуйста.;I'd like to pay, please.
339;kafic;1;Ostavljam bakšiš konobarici.;Я оставляю чаевые официантке.;I'm leaving a tip for the waitress.
340;kafic;1;Naručujem sok od pomorandže za dete.;Я заказываю апельсиновый сок для ребёнка.;I'm ordering orange juice for the child.
341;kafic;2;Pijem kapućino ujutru pre posla.;Я пью капучино утром перед работой.;I drink cappuccino in the morning before work.
342;kafic;2;Bez šećera, molim, samo malo mleka.;Без сахара, пожалуйста, только немного молока.;Without sugar, please, just a little milk.
343;kafic;2;Molim vas sok sa ledom i slamčicom.;Сок со льдом и трубочкой, пожалуйста.;Juice with ice and a straw, please.
344;kafic;2;Uz kafu, jedan kolačić molim vas.;К кофе одно печенье, пожалуйста.;One cookie with the coffee, please.
345;kafic;2;Ja bih vodu bez gasa, hvala.;Я бы хотел негазированную воду, спасибо.;I'd like still water, thank you.
346;kafic;2;Imam rezervaciju hotela, ali ne za kafić.;У меня бронь отеля, но не для кафе.;I have a hotel reservation, but not for the café.
347;kafic;2;Molim sto u nepušačkom delu, ako je moguće.;Столик в зоне для некурящих, если возможно.;A table in the non-smoking area, if possible.
348;kafic;2;Koja je Wi-Fi lozinka ovde?;Какой здесь пароль от Wi-Fi?;What is the Wi-Fi password here?
349;kafic;2;Šta biste nam preporučili od pića?;Что бы вы порекомендовали из напитков?;What would you recommend to drink?
350;kafic;2;Plaćamo zajedno, ne odvojene račune.;Мы платим вместе, не отдельными счетами.;We're paying together, not separate bills.
351;kafic;3;Da li ovo sadrži alergene?;Это содержит аллергены?;Does this contain allergens?
352;kafic;3;Imate li mleko bez laktoze za kafu?;У вас есть молоко без лактозы для кофе?;Do you have lactose-free milk for the coffee?
353;kafic;3;Naručujem biljni čaj i prirodni sok.;Я заказываю травяной чай и натуральный сок.;I'm ordering herbal tea and fresh juice.
354;kafic;3;Kafa sa šlagom i cimetom, molim.;Кофе со взбитыми сливками и корицей, пожалуйста.;Coffee with whipped cream and cinnamon, please.
355;kafic;3;Mogu li da vidim kartu pića?;Могу я посмотреть карту напитков?;Can I see the drinks menu?
356;kafic;3;Da li služite doručak subotom?;Вы подаёте завтрак по субботам?;Do you serve breakfast on Saturdays?
357;kafic;3;Koliko traje čekanje za sto?;Сколько длится ожидание столика?;How long is the wait for a table?
358;kafic;3;Molim kafu za poneti, žurim.;Кофе с собой, я спешу.;Coffee to go, please, I'm in a hurry.
359;kafic;3;Treba mi trska za mešanje i salveta.;Мне нужна мешалка и салфетка.;I need a stirring stick and a napkin.
360;kafic;3;Volim baštu ovog kafića uveče.;Мне нравится летняя терраса этого кафе вечером.;I love this café's garden in the evening.
361;lepote;1;Idem u salon lepote sutra posle posla.;Я иду в салон красоты завтра после работы.;I'm going to the beauty salon tomorrow after work.
362;lepote;1;Frizer mi seče kosu jednom mesečno.;Парикмахер стрижёт мне волосы раз в месяц.;The hairdresser cuts my hair once a month.
363;lepote;1;Kosa mi je previše duga, treba šišanje.;Волосы у меня слишком длинные, нужна стрижка.;My hair is too long, I need a haircut.
364;lepote;1;Zakazala sam šišanje za petak popodne.;Я записалась на стрижку на пятницу днём.;I booked a haircut for Friday afternoon.
365;lepote;1;Radim farbanje kose danas u salonu.;Сегодня я делаю окрашивание волос в салоне.;I'm getting my hair dyed today at the salon.
366;lepote;1;Zakazala sam manikir i pedikir za subotu.;Я записалась на маникюр и педикюр на субботу.;I booked a manicure and pedicure for Saturday.
367;lepote;1;Nokti su mi slomljeni, treba manikir.;У меня сломаны ногти, нужен маникюр.;My nails are broken, I need a manicure.
368;lepote;1;Zakazujem termin za frizuru sledeće nedelje.;Я записываюсь на стрижку на следующей неделе.;I'm booking an appointment for a haircut next week.
369;lepote;1;Kakva je cena usluge za farbanje kose?;Какая цена услуги окрашивания волос?;What is the price for the hair dyeing service?
370;lepote;1;Želim kratku frizuru za leto.;Я хочу короткую стрижку на лето.;I want a short haircut for summer.
371;lepote;2;Šišam se jednom mesečno kod istog frizera.;Я стригусь раз в месяц у одного и того же парикмахера.;I get a haircut once a month from the same hairdresser.
372;lepote;2;Bojim kosu u smeđu boju svaka dva meseca.;Я крашу волосы в коричневый цвет каждые два месяца.;I dye my hair brown every two months.
373;lepote;2;Molim vas i feniranje posle šišanja.;И укладку феном после стрижки, пожалуйста.;And a blow-dry after the haircut, please.
374;lepote;2;Radim depilaciju nogu pre leta.;Я делаю депиляцию ног перед летом.;I'm getting my legs waxed before summer.
375;lepote;2;Masaža lica opušta posle napornog dana.;Массаж лица расслабляет после тяжёлого дня.;A facial massage is relaxing after a hard day.
376;lepote;2;Stavljam gel lak na nokte, sviđa mi se.;Я делаю гель-лак на ногти, мне нравится.;I'm getting gel polish on my nails, I like it.
377;lepote;2;Sviđa mi se ova frizura, hvala vam.;Мне нравится эта причёска, спасибо вам.;I like this hairstyle, thank you.
378;lepote;2;Prvo idemo na konsultaciju sa frizerom.;Сначала мы идём на консультацию с парикмахером.;First we go for a consultation with the hairdresser.
379;lepote;2;Volim opuštajuću masažu posle posla.;Я люблю расслабляющий массаж после работы.;I love a relaxing massage after work.
380;lepote;2;Kozmetičar mi je preporučio kremu za lice.;Косметолог порекомендовал мне крем для лица.;The beautician recommended a face cream to me.
381;lepote;3;Da li imate slobodan termin danas popodne?;У вас есть сегодня днём свободное время?;Do you have a free slot this afternoon?
382;lepote;3;Koliko traje šišanje i feniranje zajedno?;Сколько длится стрижка и укладка феном вместе?;How long does the haircut and blow-dry take together?
383;lepote;3;Želim da zadržim prirodnu boju kose.;Я хочу сохранить натуральный цвет волос.;I want to keep my natural hair color.
384;lepote;3;Radim melanž na kosi ovog leta.;Этим летом я делаю мелирование на волосах.;I'm getting highlights in my hair this summer.
385;lepote;3;Imam suvu kosu zimi, treba mi regenerator.;У меня сухие волосы зимой, мне нужен кондиционер.;I have dry hair in winter, I need conditioner.
386;lepote;3;Samo sečenje vrhova, molim vas, ne kratko.;Только стрижка кончиков, пожалуйста, не коротко.;Just a trim, please, not short.
387;lepote;3;Radim nadogradnju noktiju gelom jednom mesečno.;Я делаю наращивание ногтей гелем раз в месяц.;I get gel nail extensions once a month.
388;lepote;3;Radim korekciju i bojenje obrva pre venčanja.;Я делаю коррекцию и окрашивание бровей перед свадьбой.;I'm getting my eyebrows shaped and tinted before the wedding.
389;lepote;3;Rezervisala sam spa tretman za vikend.;Я забронировала спа-процедуру на выходные.;I booked a spa treatment for the weekend.
390;lepote;3;Imamo popust za redovne klijente svakog meseca.;У нас скидка постоянным клиентам каждый месяц.;We have a discount for regular clients every month.
391;banka;1;Idem u banku posle posla danas.;Я иду в банк после работы сегодня.;I'm going to the bank after work today.
392;banka;1;Podižem novac na bankomatu blizu kuće.;Я снимаю деньги в банкомате рядом с домом.;I'm withdrawing money from the ATM near my house.
393;banka;1;Otvaram račun u banci sledeće nedelje.;Я открываю банковский счёт на следующей неделе.;I'm opening a bank account next week.
394;banka;1;Idite na drugi šalter, molim vas.;Идите к другому окну, пожалуйста.;Go to the other counter, please.
395;banka;1;Izgubila sam bankovnu karticu juče.;Я потеряла банковскую карту вчера.;I lost my bank card yesterday.
396;banka;1;Zaboravio sam PIN kod za karticu.;Я забыл ПИН-код от карты.;I forgot the PIN code for my card.
397;banka;1;Podizanje novca je besplatno u ovoj banci.;Снятие денег в этом банке бесплатно.;Cash withdrawal is free at this bank.
398;banka;1;Proveravam stanje na računu svako jutro.;Я проверяю баланс счёта каждое утро.;I check my account balance every morning.
399;banka;1;Treba mi izvod za prošli mesec, molim vas.;Мне нужна выписка за прошлый месяц, пожалуйста.;I need a statement for last month, please.
400;banka;1;Kakav je kurs evra danas u banci?;Какой сегодня курс евро в банке?;What is today's euro exchange rate at the bank?
401;banka;2;Otvaram tekući račun i devizni račun.;Я открываю текущий счёт и валютный счёт.;I'm opening a checking account and a foreign currency account.
402;banka;2;Podigla sam kredit za stan prošle godine.;Я взяла кредит на квартиру в прошлом году.;I took out a loan for an apartment last year.
403;banka;2;Kamata na kredit je visoka ove godine.;Процентная ставка по кредиту высокая в этом году.;The interest rate on the loan is high this year.
404;banka;2;Plaćam ratu jednom mesečno bez problema.;Я плачу взнос раз в месяц без проблем.;I pay an installment once a month without any problem.
405;banka;2;Podnela sam zahtev za kreditnu karticu juče.;Я подала заявку на кредитную карту вчера.;I applied for a credit card yesterday.
406;banka;2;Koristim onlajn bankarstvo i mobilnu aplikaciju svaki dan.;Я пользуюсь онлайн-банкингом и мобильным приложением каждый день.;I use online banking and the mobile app every day.
407;banka;2;Otvaranje računa traje pola sata u banci.;Открытие счёта в банке занимает полчаса.;Opening an account at the bank takes half an hour.
408;banka;2;Treba mi lična karta za otvaranje računa.;Мне нужно удостоверение личности для открытия счёта.;I need my ID to open an account.
409;banka;2;Stavite potpis ovde, molim vas.;Поставьте здесь подпись, пожалуйста.;Put your signature here, please.
410;banka;2;Podesila sam trajni nalog za kiriju svakog meseca.;Я настроила постоянное поручение на аренду каждый месяц.;I set up a standing order for rent every month.
411;banka;3;Menjam devize u banci pre putovanja.;Я меняю иностранную валюту в банке перед поездкой.;I'm exchanging foreign cash at the bank before the trip.
412;banka;3;Treba mi SWIFT kod i IBAN banke.;Мне нужны SWIFT-код и IBAN банка.;I need the bank's SWIFT code and IBAN.
413;banka;3;Otvorila sam rezidentni račun posle godinu dana boravka.;Я открыла резидентский счёт после года пребывания.;I opened a resident account after a year of residence.
414;banka;3;Pročitajte ugovor o kreditu pažljivo pre potpisa.;Внимательно прочитайте кредитный договор перед подписанием.;Read the loan agreement carefully before signing.
415;banka;3;Uzeli smo hipoteku za kuću prošle godine.;В прошлом году мы взяли ипотеку на дом.;We took out a mortgage for the house last year.
416;banka;3;Imam dozvoljeni minus na računu za hitne slučajeve.;У меня разрешён овердрафт на счету для срочных случаев.;I have an authorized overdraft on my account for emergencies.
417;banka;3;Koristim bezkontaktno plaćanje svuda, veoma je praktično.;Я везде использую бесконтактную оплату, это очень удобно.;I use contactless payment everywhere, it's very convenient.
418;banka;3;Prijavila sam gubitak kartice odmah zbog krađe identiteta.;Я сразу заявила об утере карты из-за кражи личных данных.;I reported the lost card immediately due to identity theft.
419;banka;3;Banka je blokirala sumnjivu transakciju na mom računu.;Банк заблокировал подозрительную транзакцию на моём счёте.;The bank blocked a suspicious transaction on my account.
420;banka;3;Otvorila sam depozit na godinu dana u ovoj banci.;Я открыла депозит на год в этом банке.;I opened a one-year deposit at this bank.
421;MUP;1;Idem u MUP da predam dokumenta sutra.;Я иду в МВД, чтобы подать документы завтра.;I'm going to the MUP to submit documents tomorrow.
422;MUP;1;Prijavljujem boravak u Srbiji ove nedelje.;Я регистрирую пребывание в Сербии на этой неделе.;I'm registering my stay in Serbia this week.
423;MUP;1;Prijava boravka je obavezna za sve strance.;Регистрация по месту пребывания обязательна для всех иностранцев.;Registration of stay is mandatory for all foreigners.
424;MUP;1;Uzeo sam beli karton na granici juče.;Я получил белый картон на границе вчера.;I got the white card at the border yesterday.
425;MUP;1;Ponesite pasoš i sva dokumenta u MUP.;Возьмите паспорт и все документы с собой в МВД.;Bring your passport and all documents to the MUP.
426;MUP;1;Podnosim zahtev za boravišnu dozvolu ove nedelje.;Я подаю заявление на ВНЖ на этой неделе.;I'm applying for a residence permit this week.
427;MUP;1;Popunjavam zahtev za ID karticu stranca.;Я заполняю заявление на ID-карту иностранца.;I'm filling out the application for a foreigner's ID card.
428;MUP;1;Zakazao sam termin u MUP-u za sledeći utorak.;Я записался на приём в МВД на следующий вторник.;I booked an appointment at the MUP for next Tuesday.
429;MUP;1;Treba mi fotografija za dokumenta danas.;Мне сегодня нужно фото на документы.;I need an ID photo today.
430;MUP;1;Platio sam taksu za zahtev jutros.;Я оплатил пошлину за заявление сегодня утром.;I paid the fee for the application this morning.
431;MUP;2;Podnosim zahtev za privremeni boravak po osnovu posla.;Я подаю заявление на временное пребывание на основании работы.;I'm applying for temporary residence based on work.
432;MUP;2;Koji je vaš osnov boravka u Srbiji?;Какое у вас основание для пребывания в Сербии?;What is your grounds for residence in Serbia?
433;MUP;2;Podnosim zahtev za produženje boravka pre isteka.;Я подаю заявление на продление ВНЖ до истечения срока.;I'm applying for a residence extension before it expires.
434;MUP;2;Dobio sam ID karticu stranca posle mesec dana.;Я получил ИД-карту иностранца через месяц.;I received my foreigner's ID card after a month.
435;MUP;2;Prošao sam biometriju i uzeli su mi otiske prstiju.;Я прошёл биометрию, и у меня взяли отпечатки пальцев.;I went through biometrics and they took my fingerprints.
436;MUP;2;Treba mi ugovor o zakupu i saglasnost vlasnika stana.;Мне нужен договор аренды и согласие владельца квартиры.;I need a lease agreement and the apartment owner's consent.
437;MUP;2;Kupila sam zdravstveno osiguranje za strance pre podnošenja.;Я купила медстраховку для иностранцев перед подачей.;I bought health insurance for foreigners before submitting.
438;MUP;2;Priložite izvod iz banke uz zahtev za boravak.;Приложите банковскую выписку к заявлению на пребывание.;Attach a bank statement to the residence application.
439;MUP;2;Podnela sam elektronsku prijavu preko portala eUprava.;Я подала электронное заявление через портал eUprava.;I submitted an online application through the eUprava portal.
440;MUP;2;Čekam rešenje MUP-a već dve nedelje.;Я жду решения МВД уже две недели.;I've been waiting for the MUP's decision for two weeks.
441;MUP;3;Tražim uverenje o boravku sa svim datumima ВНЖ.;Я запрашиваю справку о пребывании со всеми датами ВНЖ.;I'm requesting a residence certificate with all the residence permit dates.
442;MUP;3;Rok važenja moje boravišne dozvole je godinu dana.;Срок действия моего ВНЖ — один год.;The validity period of my residence permit is one year.
443;MUP;3;Moraću da uradim ponovno podnošenje zahteva sledećeg meseca.;В следующем месяце мне придётся сделать повторную подачу заявления.;I'll have to reapply next month.
444;MUP;3;Dobili ste matični broj stranca posle prve prijave.;Вам присвоен личный номер иностранца после первой регистрации.;You've been assigned a foreigner's registration number after the first registration.
445;MUP;3;Moram da uradim odjavu boravka pri odlasku iz zemlje.;Мне нужно сняться с регистрации пребывания при отъезде из страны.;I need to deregister my stay when leaving the country.
446;MUP;3;Imam boravak po osnovu zaposlenja u ovoj firmi.;У меня пребывание на основании трудоустройства в этой фирме.;I have residence based on employment at this company.
447;MUP;3;Radna dozvola za strance je uslov za rad ovde.;Разрешение на работу для иностранцев — условие для работы здесь.;A work permit for foreigners is a requirement to work here.
448;MUP;3;Treba mi prevod dokumenata koji radi sudski tumač.;Мне нужен перевод документов, который делает судебный переводчик.;I need a document translation done by a certified court translator.
449;MUP;3;Kašnjenje sa prijavom boravka povlači novčanu kaznu.;Опоздание с регистрацией пребывания влечёт штраф.;Late registration of your stay incurs a fine.
450;MUP;3;Prijavljujem se pomoću ConsentID aplikacije na portalu eUprava.;Я вхожу с помощью приложения ConsentID на портале eUprava.;I log in using the ConsentID app on the eUprava portal.
451;putovanja;1;Ovo je moje prvo putovanje u Srbiju.;Это моё первое путешествие в Сербию.;This is my first trip to Serbia.
452;putovanja;1;Ja sam turista, prvi put sam ovde.;Я турист, я здесь впервые.;I'm a tourist, I'm here for the first time.
453;putovanja;1;Rezervisao sam hotel u centru grada.;Я забронировал отель в центре города.;I booked a hotel in the city center.
454;putovanja;1;Imam rezervaciju hotela za dve noći.;У меня бронь отеля на две ночи.;I have a hotel reservation for two nights.
455;putovanja;1;Molim vas ključ od sobe broj pet.;Ключ от номера пять, пожалуйста.;The key to room number five, please.
456;putovanja;1;Ostavljam kofer na recepciji na sat vremena.;Я оставляю чемодан на ресепшн на час.;I'm leaving my suitcase at the reception for an hour.
457;putovanja;1;Imate li mapu grada za mene?;У вас есть для меня карта города?;Do you have a city map for me?
458;putovanja;1;Koje su glavne znamenitosti ovog grada?;Какие главные достопримечательности этого города?;What are the main sights of this city?
459;putovanja;1;Naš vodič govori ruski i engleski.;Наш гид говорит по-русски и по-английски.;Our tour guide speaks Russian and English.
460;putovanja;1;Kupujem suvenire za porodicu pre odlaska.;Я покупаю сувениры для семьи перед отъездом.;I'm buying souvenirs for my family before leaving.
461;putovanja;2;Kupili smo aranžman za sedam dana u Srbiji.;Мы купили тур на семь дней в Сербию.;We bought a seven-day travel package to Serbia.
462;putovanja;2;Polazak leta je u sedam ujutru, ne kasnimo.;Вылет в семь утра, мы не опаздываем.;The flight departure is at seven a.m., we're not late.
463;putovanja;2;Prelazimo granicu za sat vremena, imam pasoš.;Мы пересекаем границу через час, у меня есть паспорт.;We're crossing the border in an hour, I have my passport.
464;putovanja;2;Kupila sam osiguranje za putovanje pre polaska.;Я купила туристическую страховку перед отъездом.;I bought travel insurance before departure.
465;putovanja;2;Tražim jeftin smeštaj u centru grada.;Я ищу недорогое проживание в центре города.;I'm looking for cheap accommodation in the city center.
466;putovanja;2;Iznajmili smo apartman za nedelju dana.;Мы сняли апартаменты на неделю.;We rented an apartment for a week.
467;putovanja;2;Da li je doručak uključen u cenu sobe?;Завтрак включён в цену номера?;Is breakfast included in the room price?
468;putovanja;2;Odjava iz hotela je do podneva, znam.;Выезд из отеля до полудня, я знаю.;Hotel check-out is by noon, I know.
469;putovanja;2;Idemo na izlet do Novog Sada sutra.;Завтра мы едем на экскурсию в Нови-Сад.;We're going on a day trip to Novi Sad tomorrow.
